feature,mean,std,variance,min,max
feat_54,24.5796,14.564713417286724,212.1308769276919,0.0,49.0
feat_82,24.501,14.517020127675602,210.74387338733857,0.0,49.0
feat_140,24.4426,14.489006120843356,209.93129836983624,0.0,49.0
feat_206,24.4026,14.481522181333965,209.71448468846762,0.0,49.0
feat_31,24.6239,14.476671101832107,209.57400619062082,0.0,49.0
feat_151,24.4986,14.475598513886318,209.54295233522777,0.0,49.0
feat_250,24.6109,14.470295094918335,209.38944013401763,0.0,49.0
feat_171,24.5807,14.460034466407,209.0925967696784,0.0,49.0
feat_145,24.5576,14.457862401423785,209.02978521850355,0.0,49.0
feat_199,24.4686,14.455355746953376,208.95730977097801,0.0,49.0
feat_32,24.7468,14.44551684972561,208.67295705570655,0.0,49.0
feat_112,24.4742,14.428809840570331,208.1905534153392,0.0,49.0
feat_125,24.2097,14.426099165876863,208.11233714371312,0.0,49.0
feat_35,24.6091,14.419836696684504,207.93169035904907,0.0,49.0
feat_197,24.5363,14.419822309499667,207.93127543754431,0.0,49.0
feat_73,24.4726,14.41627663938285,207.82903214321567,0.0,49.0
feat_139,24.7205,14.415955109744656,207.81976172617306,0.0,49.0
feat_66,24.6275,14.414406725985208,207.77512126212758,0.0,49.0
feat_52,24.4875,14.36108867171212,206.24086783677816,0.0,49.0
feat_239,24.6485,14.334388554086358,205.47469521952198,0.0,49.0
feat_94,0.2612352973271901,2.0584861319851946,4.237365155575367,-7.434694810675978,9.606197119953196
feat_236,0.2637866644204424,2.054412608846778,4.220611167388624,-7.497301260224438,8.42874811634818
feat_117,0.36979100244010427,2.0492221782444733,4.199311535809024,-7.858560573390614,8.264089639988724
feat_200,0.3249157274738641,2.049205962903184,4.199245078397966,-7.4622916962529136,7.890481836753658
feat_213,0.25178540290693224,2.0468815725708094,4.189724172129949,-8.200102516092675,7.379541661687534
feat_124,0.3181227461264562,2.0467822669831572,4.189317648436713,-8.70860871233483,7.943055316937717
feat_267,0.2654352638680185,2.045792679424722,4.185267687187783,-6.982432373289406,7.749141896679021
feat_104,0.26947228823472896,2.045748114720428,4.185085348882185,-8.079862225644696,8.028264225995747
feat_42,0.3270166010810846,2.044135737214321,4.178490912156736,-6.645498974786374,8.672827361769148
feat_181,0.2461698316805331,2.043356082350322,4.175304079278055,-6.788437063271976,8.398545705769832
feat_39,0.27692621050304017,2.042665778080113,4.172483480939634,-8.407751725539727,7.910225265091563
feat_158,0.22481824609929932,2.0425801912883155,4.172133837843411,-7.785846372803683,8.818761638299492
feat_144,0.49327153847676836,2.0411838340246464,4.166431444283556,-7.64898004150109,8.360254148245868
feat_65,0.5022415067542233,2.039398467791967,4.159146110432224,-6.87031404232632,8.794382751329483
feat_183,0.5261788969887926,2.0375097557006447,4.151446004575302,-7.810767660420783,8.643769153179104
feat_272,0.23993974536340806,2.037474197488392,4.151301105430967,-7.354399912603006,8.100478519213738
feat_20,0.2506023341106323,2.036638953300998,4.147898226102986,-7.044397160615752,7.768118380234441
feat_170,0.21808661041774358,2.0366195887825356,4.147819349412745,-8.048280291569029,7.640815252002914
feat_63,0.2460961529615889,2.035648829816081,4.14386615833158,-7.096788235815823,8.590411455417666
feat_12,0.2537872501053525,2.0355774433473606,4.143575527864577,-7.476177955649671,7.946340779099555
feat_198,0.273128219938996,2.0353561747302304,4.142674758012477,-7.752034493715286,7.40688317964166
feat_238,0.26618171757519465,2.03506846240369,4.1415036466701185,-7.904340964741867,7.723502582919251
feat_49,0.23777384456035797,2.0343600773712875,4.138620924402112,-7.7392610733924,7.6486829562710525
feat_246,0.2385911523322089,2.0338390380191216,4.136501232570546,-6.388102968736611,7.6448418356185055
feat_269,0.2401336757872135,2.0338029530979753,4.136354452030045,-8.328114557164408,7.867793086862442
feat_166,0.33518742978238425,2.033666547893675,4.135799628021778,-7.609891092851411,7.521931753594097
feat_173,0.3295328974780483,2.033247413538929,4.134095044662746,-7.363065881579438,7.584732956352384
feat_109,0.3061519709883758,2.0330199624910654,4.133170167887172,-6.6376171242360495,7.785549265738238
feat_174,0.2398804538085529,2.0326276552756686,4.131575184991463,-8.043218781487294,7.464948131065436
feat_118,0.26887918040386044,2.0326104524950264,4.131505251592035,-8.794071308414956,7.809494816912528
feat_87,0.4629700656703067,2.0308219625598958,4.124237843615626,-7.764140799390685,8.772157092845426
feat_53,0.36156105531014726,2.030797830887289,4.124139829936517,-6.937108615048079,7.839714434490381
feat_90,0.2303460447578951,2.030631031360455,4.123462385524026,-7.3711269263055135,8.164030543295455
